代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
SH000001,2015-08-05,3745.6500,3782.3500,3676.3900,3694.5700,36642297600,483850289152.00
SH000002,2015-08-05,3924.2600,3962.7400,3851.7500,3870.7200,36545251200,483190931456.00
SH000003,2015-08-05,349.5200,353.0100,341.5800,345.5300,97047400,659336960.00
SH000004,2015-08-05,3051.0600,3092.8100,2994.4400,3014.0000,20995724800,288201834496.00
SH000005,2015-08-05,5030.6300,5090.3500,4912.9600,4956.9200,1252248100,16648013824.00
SH000006,2015-08-05,6536.3200,6677.8900,6430.6900,6463.8300,1010523900,10073605120.00
SH000007,2015-08-05,7809.7300,7924.2500,7632.6600,7704.3300,6090809600,61401206784.00
SH000008,2015-08-05,3127.3700,3136.5900,3073.1400,3077.7600,7292992000,107525627904.00
SH000009,2015-08-05,6756.4200,6871.8600,6612.2700,6687.9500,11517222400,146198183936.00
SH000010,2015-08-05,8528.5900,8576.3100,8356.5000,8373.4500,14648985600,190473273344.00
SH000011,2015-08-05,6062.8100,6076.5100,5993.2700,6001.7600,2231192800,34530951168.00
SH000012,2015-08-05,150.2800,150.3400,150.2800,150.3400,50803500,523321056.00
SH000013,2015-08-05,190.4100,190.4900,190.4100,190.4900,192608100,1947467392.00
SH000015,2015-08-05,3087.8500,3119.8300,3028.3100,3040.3800,3825334800,32033138688.00
SH000016,2015-08-05,2529.1300,2537.3500,2485.6000,2487.0600,6288967200,79648358400.00
SH000017,2015-08-05,3164.7400,3195.8100,3106.3000,3121.6100,36535481600,482911748096.00
SH000018,2015-08-05,4864.2700,4871.9400,4777.6200,4778.7000,2940722000,35701301248.00
SH000019,2015-08-05,1145.9000,1155.7100,1123.6500,1127.6200,16666441600,203933745152.00
SH000020,2015-08-05,1678.3600,1706.4700,1648.3200,1668.0800,5645696800,91295490048.00
SH000021,2015-08-05,995.8200,1001.5800,977.4400,978.8000,9426880800,116254171136.00
SH000022,2015-08-05,166.2100,166.3700,166.1900,166.3600,59455000,614321216.00
SH000023,2015-08-05,161.0500,161.0600,160.9300,161.0600,2573000,25414150.00
SH000025,2015-08-05,2467.8800,2508.0400,2429.6300,2439.2600,2597889200,24080670720.00
SH000026,2015-08-05,2776.2600,2799.7300,2722.2000,2730.5000,1420749900,12261653504.00
SH000027,2015-08-05,1482.8000,1486.4900,1423.5900,1437.0700,1301721900,11952300032.00
SH000028,2015-08-05,2908.8500,2917.7200,2851.2400,2853.5400,3650264000,65619197952.00
SH000029,2015-08-05,3725.7300,3740.7100,3665.7500,3668.9200,6443058400,62135664640.00
SH000030,2015-08-05,2135.6900,2146.5900,2082.7200,2090.0500,9924846400,151930994688.00
SH000031,2015-08-05,3053.7500,3072.1000,3001.3400,3005.5300,12717640800,148447461376.00
SH000032,2015-08-05,2022.1100,2041.4900,1975.6700,1986.5400,1628170900,16215742464.00
SH000033,2015-08-05,2188.7500,2222.9400,2146.1000,2160.0100,2952476200,28701196288.00
SH000034,2015-08-05,3292.0400,3352.8700,3217.3800,3248.9200,6504143200,84203667456.00
SH000035,2015-08-05,3392.6900,3423.4400,3290.6400,3309.8700,1956983000,28309377024.00
SH000036,2015-08-05,6759.5400,6779.2700,6582.0900,6633.3500,889342200,14995900416.00
SH000037,2015-08-05,6649.1100,6698.1900,6518.5300,6552.9800,547664800,11692551168.00
SH000038,2015-08-05,4579.1600,4586.4300,4495.0400,4496.0200,2925565200,35462148096.00
SH000039,2015-08-05,5137.9200,5204.2900,4973.6500,5017.6600,929759600,21426956288.00
SH000040,2015-08-05,3179.8100,3225.8600,3065.9500,3105.5100,440709400,6641479680.00
SH000041,2015-08-05,3217.9100,3243.1300,3153.2800,3166.5400,1769481400,15981185024.00
SH000042,2015-08-05,1772.3100,1783.7300,1742.0100,1744.5500,6371731600,78676492288.00
SH000043,2015-08-05,2256.1300,2270.5200,2216.6400,2218.6300,3279753400,44175900672.00
SH000044,2015-08-05,4255.9000,4294.8500,4145.5700,4168.5100,8360018400,110824914944.00
SH000045,2015-08-05,5933.2200,6028.0200,5796.2400,5862.3900,11375347200,143767453696.00
SH000046,2015-08-05,5013.0400,5075.5400,4890.2000,4931.1800,19735366400,254592368640.00
SH000047,2015-08-05,3575.5900,3605.6500,3500.6300,3516.7300,26024332800,334240710656.00
SH000048,2015-08-05,1328.5700,1338.3300,1306.8800,1309.4000,4418636800,66684403712.00
SH000049,2015-08-05,1862.8000,1876.7400,1827.5400,1831.1000,2329925600,38033186816.00
SH000050,2015-08-05,2671.6600,2686.6100,2621.0600,2624.7600,6288967200,79648358400.00
SH000051,2015-08-05,10714.5700,10809.7800,10461.2200,10510.2600,14648985600,190473273344.00
SH000052,2015-08-05,2685.1500,2694.6500,2645.1200,2646.3500,6288967200,79648358400.00
SH000053,2015-08-05,10675.0900,10730.4700,10493.8300,10505.4900,14648985600,190473273344.00
SH000054,2015-08-05,1244.1400,1249.1200,1223.4200,1224.4800,5180978800,57528213504.00
SH000055,2015-08-05,1104.4600,1108.3600,1079.4600,1081.0900,3130886000,37638627328.00
SH000056,2015-08-05,1097.9800,1103.6900,1076.9100,1078.4700,9502617600,116315119616.00
SH000057,2015-08-05,3458.7600,3474.2000,3392.8900,3396.9900,6370616800,101571559424.00
SH000058,2015-08-05,3820.2300,3843.8300,3756.3100,3762.2300,11100596800,113745100800.00
SH000059,2015-08-05,3252.2500,3278.2300,3174.9400,3191.7900,17937659200,257523204096.00
SH000060,2015-08-05,3816.9600,3850.7000,3745.0200,3760.3500,22667638400,269696745472.00
SH000061,2015-08-05,137.6300,137.7100,137.6300,137.7100,91500,94874672.00
SH000062,2015-08-05,2654.2200,2671.9900,2587.5100,2603.3800,3139635200,41788928000.00
SH000063,2015-08-05,3045.9200,3051.1000,2988.2100,2988.9300,4884632800,52762484736.00
SH000064,2015-08-05,3157.2800,3198.1000,3084.2100,3104.1200,8201293600,121192243200.00
SH000065,2015-08-05,3626.1000,3649.0900,3531.7600,3544.8800,5294515600,70361808896.00
SH000066,2015-08-05,2079.5200,2100.4800,2032.0800,2050.5100,3106333600,32433383424.00
SH000067,2015-08-05,8849.3000,8963.6200,8598.2900,8677.0800,3725234800,67703029760.00
SH000068,2015-08-05,2299.8900,2321.1800,2244.8000,2258.8100,2864722000,27838990336.00
SH000069,2015-08-05,4187.2800,4209.9800,4072.8700,4099.0300,2946160200,46983962624.00
SH000070,2015-08-05,3367.9500,3405.1200,3282.2200,3308.4000,1628170900,16215742464.00
SH000071,2015-08-05,3413.1500,3465.3500,3341.5500,3369.8600,2952476200,28701196288.00
SH000072,2015-08-05,4276.2700,4352.6600,4166.8700,4215.2100,6504143200,84203667456.00
SH000073,2015-08-05,4003.9700,4042.4700,3888.0600,3911.6500,1956983000,28309377024.00
SH000074,2015-08-05,6556.2000,6611.4300,6407.1900,6475.5700,889342200,14995900416.00
SH000075,2015-08-05,9163.9700,9263.8100,9018.1400,9066.3000,547664800,11692551168.00
SH000076,2015-08-05,4937.1300,4942.0800,4843.0000,4843.2800,2925565200,35462148096.00
SH000077,2015-08-05,6639.6100,6731.9200,6447.7000,6504.3500,929759600,21426956288.00
SH000078,2015-08-05,2922.3500,2967.3200,2837.0300,2872.4400,440709400,6641479680.00
SH000079,2015-08-05,3729.9200,3776.1300,3653.4100,3685.0800,1769481400,15981185024.00
SH000090,2015-08-05,1331.5500,1345.4000,1305.0900,1313.0600,36535481600,482911748096.00
SH000091,2015-08-05,10859.5300,11053.3100,10647.6500,10772.3100,5360144800,69834629120.00
SH000092,2015-08-05,2852.2200,2883.2900,2790.3200,2810.7800,3004967200,30665811968.00
SH000093,2015-08-05,12441.6500,12542.9500,12145.3700,12196.8300,14648985600,190473273344.00
SH000094,2015-08-05,2628.5900,2650.7100,2571.6400,2586.2100,2834329600,27537983488.00
SH000095,2015-08-05,3829.5700,3908.9800,3754.3700,3790.0000,10763173600,144057794560.00
SH000096,2015-08-05,4271.1500,4304.1300,4150.1600,4182.4800,6752281600,96400678912.00
SH000097,2015-08-05,12044.4000,12306.3400,11789.3300,11937.1200,3606099200,61537042432.00
SH000098,2015-08-05,4402.0700,4429.9400,4328.4600,4333.9700,16853982400,192459128832.00
SH000099,2015-08-05,8912.8200,9068.9100,8730.1200,8822.7900,9582060000,131472146432.00
SH000100,2015-08-05,5061.1600,5099.8600,4975.6400,4986.1500,26436041600,323931275264.00
SH000101,2015-08-05,165.9500,165.9900,165.9200,165.9900,360500,372928704.00
SH000102,2015-08-05,5404.0100,5499.2100,5301.6600,5344.9000,3949298800,49795354624.00
SH000103,2015-08-05,7367.4100,7409.0500,7203.4300,7244.8500,961290700,19280340992.00
SH000104,2015-08-05,2020.1800,2045.5100,1960.5700,1988.9300,813950300,8744305664.00
SH000105,2015-08-05,4623.3100,4718.4400,4528.3100,4589.7300,2369521600,23695177728.00
SH000106,2015-08-05,7859.8000,8041.2000,7721.3500,7821.4300,4159239200,51870658560.00
SH000107,2015-08-05,7269.0600,7335.0600,7089.4400,7159.3300,1357039200,19876315136.00
SH000108,2015-08-05,8350.8000,8451.7500,8187.0800,8279.9200,376174100,5183860736.00
SH000109,2015-08-05,11901.6900,12084.0100,11680.3700,11778.7900,467980400,8915779584.00
SH000110,2015-08-05,6168.6900,6259.4700,6045.7600,6111.3500,357386700,3735393280.00
SH000111,2015-08-05,7135.3900,7250.9800,6949.0800,7017.4500,630505000,12193301504.00
SH000112,2015-08-05,5273.3800,5353.5400,5070.2700,5147.6800,124962900,3156153344.00
